ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2000-01-03 05:00:00,7.706439769335938,-29.863597386879707,80.15963221998855,7.706439769335938,7.706439769335938,15.703908203624305,15.703908203624305,15.703908203624305,20.023927168991154,20.023927168991154,20.023927168991154,-4.320018965366848,-4.320018965366848,-4.320018965366848,0.0,0.0,0.0,23.410347972960242
2000-01-04 05:00:00,7.695353385462357,-32.660590773872954,78.17346672137677,7.695353385462357,7.695353385462357,14.88824065167076,14.88824065167076,14.88824065167076,19.41362322805151,19.41362322805151,19.41362322805151,-4.525382576380753,-4.525382576380753,-4.525382576380753,0.0,0.0,0.0,22.583594037133118
2000-01-05 05:00:00,7.6842670015887755,-33.35262637620914,73.79696661996033,7.6842670015887755,7.6842670015887755,14.811174891769191,14.811174891769191,14.811174891769191,19.523742693815127,19.523742693815127,19.523742693815127,-4.712567802045935,-4.712567802045935,-4.712567802045935,0.0,0.0,0.0,22.495441893357967
2000-01-06 05:00:00,7.673180617715196,-30.88248371897178,76.97661248586621,7.673180617715196,7.673180617715196,15.09059620124382,15.09059620124382,15.09059620124382,19.97092466941148,19.97092466941148,19.97092466941148,-4.880328468167662,-4.880328468167662,-4.880328468167662,0.0,0.0,0.0,22.763776818959016
2000-01-07 05:00:00,7.662094233841614,-34.570522414343614,74.90899444683625,7.662094233841614,7.662094233841614,13.036854867489536,13.036854867489536,13.036854867489536,18.064203564995697,18.064203564995697,18.064203564995697,-5.02734869750616,-5.02734869750616,-5.02734869750616,0.0,0.0,0.0,20.698949101331152
2000-01-10 05:00:00,7.628835082220872,-31.880353780538663,78.08401648662532,7.628835082220872,7.628835082220872,14.693309974076548,14.693309974076548,14.693309974076548,20.023927168917268,20.023927168917268,20.023927168917268,-5.330617194840717,-5.330617194840717,-5.330617194840717,0.0,0.0,0.0,22.322145056297423
2000-01-11 05:00:00,7.617748698347291,-34.26887162550423,76.98607435050347,7.617748698347291,7.617748698347291,14.032036735589209,14.032036735589209,14.032036735589209,19.413623228051435,19.413623228051435,19.413623228051435,-5.381586492462225,-5.381586492462225,-5.381586492462225,0.0,0.0,0.0,21.6497854339365
2000-01-12 05:00:00,7.606662314473709,-35.06981728879229,73.56533836844321,7.606662314473709,7.606662314473709,14.118038919622037,14.118038919622037,14.118038919622037,19.523742693810437,19.523742693810437,19.523742693810437,-5.4057037741883995,-5.4057037741883995,-5.4057037741883995,0.0,0.0,0.0,21.724701234095747
2000-01-13 05:00:00,7.595575930600129,-33.11268402094253,77.87265741838188,7.595575930600129,7.595575930600129,14.568744802684638,14.568744802684638,14.568744802684638,19.97092466942141,19.97092466942141,19.97092466942141,-5.402179866736774,-5.402179866736774,-5.402179866736774,0.0,0.0,0.0,22.164320733284768
2000-01-14 05:00:00,7.584489546726548,-32.50150967256607,74.9501358450097,7.584489546726548,7.584489546726548,12.693721154786271,12.693721154786271,12.693721154786271,18.06420356506151,18.06420356506151,18.06420356506151,-5.370482410275241,-5.370482410275241,-5.370482410275241,0.0,0.0,0.0,20.27821070151282
