ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2008-03-19 04:00:00,25.729966259765625,0.47845727826514434,24.518334510349103,25.729966259765625,25.729966259765625,-12.65613425830206,-12.65613425830206,-12.65613425830206,-10.734398198516264,-10.734398198516264,-10.734398198516264,-1.9217360597857993,-1.9217360597857993,-1.9217360597857993,0.0,0.0,0.0,13.073832001463565
2008-03-20 04:00:00,25.730106397344972,1.728195450787848,25.20022323478633,25.730106397344972,25.730106397344972,-12.458205208970845,-12.458205208970845,-12.458205208970845,-10.502704567752637,-10.502704567752637,-10.502704567752637,-1.95550064121821,-1.95550064121821,-1.95550064121821,0.0,0.0,0.0,13.271901188374127
2008-03-24 04:00:00,25.730666947662346,1.3957877187083325,25.721412757510794,25.730666947662346,25.730666947662346,-12.514771112747205,-12.514771112747205,-12.514771112747205,-10.479590692712366,-10.479590692712366,-10.479590692712366,-2.0351804200348376,-2.0351804200348376,-2.0351804200348376,0.0,0.0,0.0,13.215895834915141
2008-03-25 04:00:00,25.730807085241693,1.425292671292527,25.220082652855258,25.730807085241693,25.730807085241693,-12.650999340009971,-12.650999340009971,-12.650999340009971,-10.610563016834321,-10.610563016834321,-10.610563016834321,-2.040436323175648,-2.040436323175648,-2.040436323175648,0.0,0.0,0.0,13.079807745231722
2008-03-26 04:00:00,25.730947222821033,0.6492975844131638,24.766663595641088,25.730947222821033,25.730947222821033,-12.773906844455038,-12.773906844455038,-12.773906844455038,-10.734398198501308,-10.734398198501308,-10.734398198501308,-2.039508645953727,-2.039508645953727,-2.039508645953727,0.0,0.0,0.0,12.957040378365996
2008-03-27 04:00:00,25.73108736040038,1.6469036364634473,25.5899381546673,25.73108736040038,25.73108736040038,-12.534992190885315,-12.534992190885315,-12.534992190885315,-10.502704567741178,-10.502704567741178,-10.502704567741178,-2.0322876231441396,-2.0322876231441396,-2.0322876231441396,0.0,0.0,0.0,13.196095169515065
2008-03-28 04:00:00,25.73122749797972,1.0973932268070907,24.62848104626784,25.73122749797972,25.73122749797972,-12.645640109843711,-12.645640109843711,-12.645640109843711,-10.626924787061846,-10.626924787061846,-10.626924787061846,-2.018715322781866,-2.018715322781866,-2.018715322781866,0.0,0.0,0.0,13.085587388136009
2008-03-31 04:00:00,25.731647910717754,0.9636749916460361,24.72536405631892,25.731647910717754,25.731647910717754,-12.419931356889908,-12.419931356889908,-12.419931356889908,-10.479590692738782,-10.479590692738782,-10.479590692738782,-1.9403406641511274,-1.9403406641511274,-1.9403406641511274,0.0,0.0,0.0,13.311716553827846
2008-04-01 04:00:00,25.7317880482971,1.232529761452696,25.337210271312248,25.7317880482971,25.7317880482971,-12.51278210929526,-12.51278210929526,-12.51278210929526,-10.61056301687081,-10.61056301687081,-10.61056301687081,-1.902219092424452,-1.902219092424452,-1.902219092424452,0.0,0.0,0.0,13.21900593900184
2008-04-02 04:00:00,25.73192818587644,0.5954856274834479,25.048692420687225,25.73192818587644,25.73192818587644,-12.592997434559702,-12.592997434559702,-12.592997434559702,-10.734398198506478,-10.734398198506478,-10.734398198506478,-1.8585992360532249,-1.8585992360532249,-1.8585992360532249,0.0,0.0,0.0,13.138930751316739
2008-04-03 04:00:00,25.73206832345579,2.0256915227904035,24.96317581968283,25.73206832345579,25.73206832345579,-12.312622413264625,-12.312622413264625,-12.312622413264625,-10.502704567746747,-10.502704567746747,-10.502704567746747,-1.809917845517878,-1.809917845517878,-1.809917845517878,0.0,0.0,0.0,13.419445910191163
2008-04-04 04:00:00,25.732208461035135,1.8463395902644073,25.11004114709363,25.732208461035135,25.732208461035135,-12.38362437806946,-12.38362437806946,-12.38362437806946,-10.62692478705347,-10.62692478705347,-10.62692478705347,-1.7566995910159882,-1.7566995910159882,-1.7566995910159882,0.0,0.0,0.0,13.348584082965676
2008-04-07 04:00:00,25.732628873773162,0.5104776395825603,25.34028883772861,25.732628873773162,25.732628873773162,-12.055831540321384,-12.055831540321384,-12.055831540321384,-10.479590692678684,-10.479590692678684,-10.479590692678684,-1.5762408476426981,-1.5762408476426981,-1.5762408476426981,0.0,0.0,0.0,13.676797333451779
2008-04-08 04:00:00,25.73276901135251,1.8846753233791187,25.709240822672907,25.73276901135251,25.73276901135251,-12.122172294539137,-12.122172294539137,-12.122172294539137,-10.610563016856227,-10.610563016856227,-10.610563016856227,-1.511609277682908,-1.511609277682908,-1.511609277682908,0.0,0.0,0.0,13.610596716813372
2008-04-09 04:00:00,25.732909148931853,2.45779025265823,26.043107934089484,25.732909148931853,25.732909148931853,-12.18047637139129,-12.18047637139129,-12.18047637139129,-10.734398198511645,-10.734398198511645,-10.734398198511645,-1.4460781728796457,-1.4460781728796457,-1.4460781728796457,0.0,0.0,0.0,13.552432777540563
2008-04-10 04:00:00,25.733049286511196,2.030975898067077,24.942575626270557,25.733049286511196,25.733049286511196,-11.88319037996461,-11.88319037996461,-11.88319037996461,-10.502704567753907,-10.502704567753907,-10.502704567753907,-1.380485812210702,-1.380485812210702,-1.380485812210702,0.0,0.0,0.0,13.849858906546586
2008-04-11 04:00:00,25.733189424090543,1.684265144302773,25.08642969931282,25.733189424090543,25.733189424090543,-11.942594356670686,-11.942594356670686,-11.942594356670686,-10.626924787070342,-10.626924787070342,-10.626924787070342,-1.3156695696003422,-1.3156695696003422,-1.3156695696003422,0.0,0.0,0.0,13.790595067419858
2008-04-14 04:00:00,25.733609836828574,1.530242485985122,25.27065579918191,25.733609836828574,25.733609836828574,-11.613458328651632,-11.613458328651632,-11.613458328651632,-10.479590692692419,-10.479590692692419,-10.479590692692419,-1.1338676359592135,-1.1338676359592135,-1.1338676359592135,0.0,0.0,0.0,14.120151508176942
2008-04-15 04:00:00,25.733749974407917,2.0596187670878288,25.051952409671465,25.733749974407917,25.733749974407917,-11.690461481926768,-11.690461481926768,-11.690461481926768,-10.610563016870898,-10.610563016870898,-10.610563016870898,-1.079898465055869,-1.079898465055869,-1.079898465055869,0.0,0.0,0.0,14.04328849248115
2008-04-16 04:00:00,25.733890111987265,2.282096715806577,26.629748955372243,25.733890111987265,25.733890111987265,-11.764672264515863,-11.764672264515863,-11.764672264515863,-10.73439819851681,-10.73439819851681,-10.73439819851681,-1.0302740659990504,-1.0302740659990504,-1.0302740659990504,0.0,0.0,0.0,13.969217847471402
2008-04-17 04:00:00,25.734030249566604,2.249732489140401,25.815065439415356,25.734030249566604,25.734030249566604,-11.488180282577087,-11.488180282577087,-11.488180282577087,-10.502704567742448,-10.502704567742448,-10.502704567742448,-0.9854757148346398,-0.9854757148346398,-0.9854757148346398,0.0,0.0,0.0,14.245849966989518
2008-04-18 04:00:00,25.73417038714595,2.4717805321648414,26.303019273813597,25.73417038714595,25.73417038714595,-11.572803235590941,-11.572803235590941,-11.572803235590941,-10.626924787061967,-10.626924787061967,-10.626924787061967,-0.945878448528975,-0.945878448528975,-0.945878448528975,0.0,0.0,0.0,14.16136715155501
2008-04-21 04:00:00,25.734590799883986,2.7911386631359165,26.653761600299514,25.734590799883986,25.734590799883986,-11.339893300810708,-11.339893300810708,-11.339893300810708,-10.479590692718833,-10.479590692718833,-10.479590692718833,-0.8603026080918755,-0.8603026080918755,-0.8603026080918755,0.0,0.0,0.0,14.394697499073278
2008-04-22 04:00:00,25.734730937463326,3.2577914646820223,26.051372578246372,25.734730937463326,25.734730937463326,-11.453477833415082,-11.453477833415082,-11.453477833415082,-10.610563016848884,-10.610563016848884,-10.610563016848884,-0.8429148165662014,-0.8429148165662014,-0.8429148165662014,0.0,0.0,0.0,14.281253104048243
