ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-04-03 04:00:00,211.401452,146.9129074475024,200.5922564172048,211.401452,211.401452,-37.27180620936667,-37.27180620936667,-37.27180620936667,-33.12535370856186,-33.12535370856186,-33.12535370856186,-4.146452500804815,-4.146452500804815,-4.146452500804815,0.0,0.0,0.0,174.12964579063333
2018-04-04 04:00:00,211.29721647927528,147.51318199478317,201.06372726912156,211.29721647927528,211.29721647927528,-37.038405742468704,-37.038405742468704,-37.038405742468704,-33.141948602089,-33.141948602089,-33.141948602089,-3.896457140379698,-3.896457140379698,-3.896457140379698,0.0,0.0,0.0,174.25881073680657
2018-04-05 04:00:00,211.1929809585505,148.57509057130582,199.98297871068135,211.1929809585505,211.1929809585505,-36.25524685217447,-36.25524685217447,-36.25524685217447,-32.56822796488075,-32.56822796488075,-32.56822796488075,-3.6870188872937293,-3.6870188872937293,-3.6870188872937293,0.0,0.0,0.0,174.937734106376
2018-04-06 04:00:00,211.08874543782576,145.7915791070113,198.68303999297504,211.08874543782576,211.08874543782576,-38.362837157386615,-38.362837157386615,-38.362837157386615,-34.840272251653246,-34.840272251653246,-34.840272251653246,-3.52256490573337,-3.52256490573337,-3.52256490573337,0.0,0.0,0.0,172.72590828043914
2018-04-09 04:00:00,210.77603887565155,147.60014093310568,201.57132944893564,210.77603887565155,210.77603887565155,-36.46792126239744,-36.46792126239744,-36.46792126239744,-33.13462832340453,-33.13462832340453,-33.13462832340453,-3.333292938992918,-3.333292938992918,-3.333292938992918,0.0,0.0,0.0,174.30811761325413
2018-04-10 04:00:00,210.67180335492682,148.00739145401226,200.63067027776913,210.67180335492682,210.67180335492682,-36.504732826937676,-36.504732826937676,-36.504732826937676,-33.1253537085176,-33.1253537085176,-33.1253537085176,-3.379379118420073,-3.379379118420073,-3.379379118420073,0.0,0.0,0.0,174.16707052798915
2018-04-11 04:00:00,210.56756783420207,146.68398806772777,201.1719675140658,210.56756783420207,210.56756783420207,-36.62404942498703,-36.62404942498703,-36.62404942498703,-33.141948602061504,-33.141948602061504,-33.141948602061504,-3.482100822925529,-3.482100822925529,-3.482100822925529,0.0,0.0,0.0,173.94351840921505
2018-04-12 04:00:00,210.46333231347734,148.03656630586488,201.23447980150019,210.46333231347734,210.46333231347734,-36.20978196219007,-36.20978196219007,-36.20978196219007,-32.56822796490468,-32.56822796490468,-32.56822796490468,-3.641553997285392,-3.641553997285392,-3.641553997285392,0.0,0.0,0.0,174.25355035128726
2018-04-13 04:00:00,210.35909679275258,144.085133991705,196.08323566355807,210.35909679275258,210.35909679275258,-38.69735768759978,-38.69735768759978,-38.69735768759978,-34.8402722516944,-34.8402722516944,-34.8402722516944,-3.8570854359053808,-3.8570854359053808,-3.8570854359053808,0.0,0.0,0.0,171.6617391051528
2018-04-16 04:00:00,210.04639023057834,146.85779408026255,198.60999931365598,210.04639023057834,210.04639023057834,-37.95740503176953,-37.95740503176953,-37.95740503176953,-33.134628323488414,-33.134628323488414,-33.134628323488414,-4.822776708281116,-4.822776708281116,-4.822776708281116,0.0,0.0,0.0,172.0889851988088
2018-04-17 04:00:00,209.9421547098536,146.06767507868653,198.46531994189328,209.9421547098536,209.9421547098536,-38.36720097062846,-38.36720097062846,-38.36720097062846,-33.125353708557924,-33.125353708557924,-33.125353708557924,-5.2418472620705385,-5.2418472620705385,-5.2418472620705385,0.0,0.0,0.0,171.57495373922515
2018-04-18 04:00:00,209.83791918912888,144.73707770470608,198.5814167769062,209.83791918912888,209.83791918912888,-38.84530047293352,-38.84530047293352,-38.84530047293352,-33.14194860206429,-33.14194860206429,-33.14194860206429,-5.703351870869236,-5.703351870869236,-5.703351870869236,0.0,0.0,0.0,170.99261871619535
2018-04-19 04:00:00,209.73368366840415,143.4365172449128,197.42514856169203,209.73368366840415,209.73368366840415,-38.771000522872065,-38.771000522872065,-38.771000522872065,-32.568227964870154,-32.568227964870154,-32.568227964870154,-6.2027725580019135,-6.2027725580019135,-6.2027725580019135,0.0,0.0,0.0,170.96268314553208
2018-04-20 04:00:00,209.6294481476794,141.10211623505404,193.9821459421554,209.6294481476794,209.6294481476794,-41.57539710280373,-41.57539710280373,-41.57539710280373,-34.8402722516754,-34.8402722516754,-34.8402722516754,-6.735124851128327,-6.735124851128327,-6.735124851128327,0.0,0.0,0.0,168.05405104487568
2018-04-23 04:00:00,209.31674158550516,144.1708257423529,195.88797463094906,209.31674158550516,209.31674158550516,-41.60902218301472,-41.60902218301472,-41.60902218301472,-33.13462832357231,-33.13462832357231,-33.13462832357231,-8.47439385944241,-8.47439385944241,-8.47439385944241,0.0,0.0,0.0,167.70771940249043
2018-04-24 04:00:00,209.21250606478043,141.30645461721818,192.73053508025427,209.21250606478043,209.21250606478043,-42.20713304161279,-42.20713304161279,-42.20713304161279,-33.12535370848224,-33.12535370848224,-33.12535370848224,-9.081779333130557,-9.081779333130557,-9.081779333130557,0.0,0.0,0.0,167.00537302316764
2018-04-25 04:00:00,209.1082705440557,141.43758541077173,190.8289562921293,209.1082705440557,209.1082705440557,-42.83466118130554,-42.83466118130554,-42.83466118130554,-33.141948602077115,-33.141948602077115,-33.141948602077115,-9.692712579228424,-9.692712579228424,-9.692712579228424,0.0,0.0,0.0,166.27360936275016
2018-04-26 04:00:00,209.00403502333097,138.06528692380746,191.71427171601,209.00403502333097,209.00403502333097,-42.8692057032851,-42.8692057032851,-42.8692057032851,-32.56822796488221,-32.56822796488221,-32.56822796488221,-10.300977738402892,-10.300977738402892,-10.300977738402892,0.0,0.0,0.0,166.13482932004587
2018-04-27 04:00:00,208.8997995026062,136.92547321442152,189.31748864238548,208.8997995026062,208.8997995026062,-45.74070897612178,-45.74070897612178,-45.74070897612178,-34.84027225159467,-34.84027225159467,-34.84027225159467,-10.90043672452712,-10.90043672452712,-10.90043672452712,0.0,0.0,0.0,163.15909052648442
2018-04-30 04:00:00,208.587092940432,135.23935874901596,188.72801545697055,208.587092940432,208.587092940432,-45.722057570361535,-45.722057570361535,-45.722057570361535,-33.13462832349541,-33.13462832349541,-33.13462832349541,-12.587429246866126,-12.587429246866126,-12.587429246866126,0.0,0.0,0.0,162.86503537007047
2018-05-01 04:00:00,208.48285741970724,136.87678453104007,189.0899019076743,208.48285741970724,208.48285741970724,-46.219937056319175,-46.219937056319175,-46.219937056319175,-33.125353708522546,-33.125353708522546,-33.125353708522546,-13.094583347796618,-13.094583347796618,-13.094583347796618,0.0,0.0,0.0,162.26292036338808
2018-05-02 04:00:00,208.3786218989825,135.68427423526552,188.554536873187,208.3786218989825,208.3786218989825,-46.70804490607048,-46.70804490607048,-46.70804490607048,-33.14194860208995,-33.14194860208995,-33.14194860208995,-13.566096303980528,-13.566096303980528,-13.566096303980528,0.0,0.0,0.0,161.670576992912
2018-05-03 04:00:00,208.27438637825776,135.15749520544654,189.01551737400794,208.27438637825776,208.27438637825776,-46.56607206616028,-46.56607206616028,-46.56607206616028,-32.568227964894284,-32.568227964894284,-32.568227964894284,-13.997844101266,-13.997844101266,-13.997844101266,0.0,0.0,0.0,161.70831431209749
2018-05-04 04:00:00,208.170150857533,133.279334413689,187.11479721103555,208.170150857533,208.170150857533,-49.22651550022113,-49.22651550022113,-49.22651550022113,-34.84027225151394,-34.84027225151394,-34.84027225151394,-14.386243248707197,-14.386243248707197,-14.386243248707197,0.0,0.0,0.0,158.94363535731188
2018-05-07 04:00:00,207.85744429535882,135.5647972205963,185.56666935454192,207.85744429535882,207.85744429535882,-48.39896581220527,-48.39896581220527,-48.39896581220527,-33.13462832346729,-33.13462832346729,-33.13462832346729,-15.264337488737986,-15.264337488737986,-15.264337488737986,0.0,0.0,0.0,159.45847848315356
2018-05-08 04:00:00,207.75320877463403,132.76469535284872,183.99864215973238,207.75320877463403,207.75320877463403,-48.5807710545967,-48.5807710545967,-48.5807710545967,-33.1253537084783,-33.1253537084783,-33.1253537084783,-15.455417346118404,-15.455417346118404,-15.455417346118404,0.0,0.0,0.0,159.17243772003732
2018-05-09 04:00:00,207.6489732539093,132.54421731365784,186.4341966417649,207.6489732539093,207.6489732539093,-48.73624535881798,-48.73624535881798,-48.73624535881798,-33.14194860206244,-33.14194860206244,-33.14194860206244,-15.59429675675555,-15.59429675675555,-15.59429675675555,0.0,0.0,0.0,158.91272789509134
2018-05-10 04:00:00,207.54473773318458,131.76329979322452,184.09122975576332,207.54473773318458,207.54473773318458,-48.24929386522196,-48.24929386522196,-48.24929386522196,-32.56822796485974,-32.56822796485974,-32.56822796485974,-15.681065900362215,-15.681065900362215,-15.681065900362215,0.0,0.0,0.0,159.2954438679626
2018-05-11 04:00:00,207.44050221245982,131.00517449301296,183.95387409944797,207.44050221245982,207.44050221245982,-50.55667408916514,-50.55667408916514,-50.55667408916514,-34.84027225180043,-34.84027225180043,-34.84027225180043,-15.716401837364712,-15.716401837364712,-15.716401837364712,0.0,0.0,0.0,156.88382812329468
2018-05-14 04:00:00,207.1277956502856,131.6540664100006,186.3433226946552,207.1277956502856,207.1277956502856,-48.66322312615298,-48.66322312615298,-48.66322312615298,-33.13462832343915,-33.13462832343915,-33.13462832343915,-15.528594802713824,-15.528594802713824,-15.528594802713824,0.0,0.0,0.0,158.46457252413262
2018-05-15 04:00:00,207.02356012956085,130.78397922995225,184.51274457348043,207.02356012956085,207.02356012956085,-48.50066333749891,-48.50066333749891,-48.50066333749891,-33.12535370858744,-33.12535370858744,-33.12535370858744,-15.375309628911465,-15.375309628911465,-15.375309628911465,0.0,0.0,0.0,158.52289679206194
2018-05-16 04:00:00,206.91932460883612,133.53550125737956,186.555377623329,206.91932460883612,206.91932460883612,-48.323216672345524,-48.323216672345524,-48.323216672345524,-33.14194860210555,-33.14194860210555,-33.14194860210555,-15.181268070239966,-15.181268070239966,-15.181268070239966,0.0,0.0,0.0,158.5961079364906
2018-05-17 04:00:00,206.8150890881114,132.07385273178838,185.6031769353483,206.8150890881114,206.8150890881114,-47.517883383132,-47.517883383132,-47.517883383132,-32.568227964883675,-32.568227964883675,-32.568227964883675,-14.94965541824833,-14.94965541824833,-14.94965541824833,0.0,0.0,0.0,159.29720570497938
