ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2010-06-29 04:00:00,42.57193026442871,-49.36593085730563,39.488394765862026,42.57193026442871,42.57193026442871,-50.333771004431966,-50.333771004431966,-50.333771004431966,-44.534906227683194,-44.534906227683194,-44.534906227683194,-5.798864776748779,-5.798864776748779,-5.798864776748779,0.0,0.0,0.0,-7.761840740003258
2010-06-30 04:00:00,42.581538538202345,-52.77159598715889,36.542156109074654,42.581538538202345,42.581538538202345,-50.7601226547826,-50.7601226547826,-50.7601226547826,-45.4528485123065,-45.4528485123065,-45.4528485123065,-5.307274142476095,-5.307274142476095,-5.307274142476095,0.0,0.0,0.0,-8.178584116580254
2010-07-01 04:00:00,42.591146811975975,-50.37917228904519,40.28836303125181,42.591146811975975,42.591146811975975,-49.851328556716524,-49.851328556716524,-49.851328556716524,-45.04524339730455,-45.04524339730455,-45.04524339730455,-4.806085159411966,-4.806085159411966,-4.806085159411966,0.0,0.0,0.0,-7.2601817447405494
2010-07-02 04:00:00,42.600755085749604,-53.80697443578765,37.139595342352294,42.600755085749604,42.600755085749604,-49.75411873515794,-49.75411873515794,-49.75411873515794,-45.454167441218466,-45.454167441218466,-45.454167441218466,-4.299951293939461,-4.299951293939461,-4.299951293939461,0.0,0.0,0.0,-7.153363649408334
2010-07-06 04:00:00,42.63918818084413,-50.288535058083184,39.72457689168592,42.63918818084413,42.63918818084413,-46.8644027858538,-46.8644027858538,-46.8644027858538,-44.53490622756007,-44.53490622756007,-44.53490622756007,-2.3294965582937275,-2.3294965582937275,-2.3294965582937275,0.0,0.0,0.0,-4.225214605009668
2010-07-07 04:00:00,42.64879645461776,-45.67191636744107,40.76128080870322,42.64879645461776,42.64879645461776,-47.33009600448786,-47.33009600448786,-47.33009600448786,-45.45284851240699,-45.45284851240699,-45.45284851240699,-1.8772474920808733,-1.8772474920808733,-1.8772474920808733,0.0,0.0,0.0,-4.681299549870097
2010-07-08 04:00:00,42.65840472839139,-46.617048419578225,38.32964024584669,42.65840472839139,42.65840472839139,-46.49681462999164,-46.49681462999164,-46.49681462999164,-45.04524339734724,-45.04524339734724,-45.04524339734724,-1.4515712326443986,-1.4515712326443986,-1.4515712326443986,0.0,0.0,0.0,-3.838409901600251
2010-07-09 04:00:00,42.668013002165026,-48.57896200321749,38.77237651783855,42.668013002165026,42.668013002165026,-46.511348021653376,-46.511348021653376,-46.511348021653376,-45.454167441110116,-45.454167441110116,-45.454167441110116,-1.0571805805432586,-1.0571805805432586,-1.0571805805432586,0.0,0.0,0.0,-3.84333501948835
2010-07-12 04:00:00,42.696837823485914,-47.343309959651386,44.024514535419286,42.696837823485914,42.696837823485914,-44.34289799300478,-44.34289799300478,-44.34289799300478,-44.241698938671476,-44.241698938671476,-44.241698938671476,-0.10119905433330956,-0.10119905433330956,-0.10119905433330956,0.0,0.0,0.0,-1.6460601695188686
2010-07-13 04:00:00,42.706446097259544,-44.78508703508159,41.2606583312073,42.706446097259544,42.706446097259544,-44.40314427183294,-44.40314427183294,-44.40314427183294,-44.53490622764119,-44.53490622764119,-44.53490622764119,0.13176195580824046,0.13176195580824046,0.13176195580824046,0.0,0.0,0.0,-1.6966981745733989
2010-07-14 04:00:00,42.716054371033174,-44.06321033159846,40.28140038244551,42.716054371033174,42.716054371033174,-45.13411821935976,-45.13411821935976,-45.13411821935976,-45.4528485123427,-45.4528485123427,-45.4528485123427,0.3187302929829367,0.3187302929829367,0.3187302929829367,0.0,0.0,0.0,-2.4180638483265895
2010-07-15 04:00:00,42.72566264480681,-46.08074618497154,40.42826385028602,42.72566264480681,42.72566264480681,-44.586220150152435,-44.586220150152435,-44.586220150152435,-45.0452433973667,-45.0452433973667,-45.0452433973667,0.459023247214253,0.459023247214253,0.459023247214253,0.0,0.0,0.0,-1.860557505345625
2010-07-16 04:00:00,42.73527091858044,-45.03487390476984,41.278053446286506,42.73527091858044,42.73527091858044,-44.9013783795834,-44.9013783795834,-44.9013783795834,-45.454167441056455,-45.454167441056455,-45.454167441056455,0.5527890614730586,0.5527890614730586,0.5527890614730586,0.0,0.0,0.0,-2.1661074610029587
2010-07-19 04:00:00,42.76409573990133,-42.21102864526353,45.24943123288277,42.76409573990133,42.76409573990133,-43.673100775250354,-43.673100775250354,-43.673100775250354,-44.24169893858408,-44.24169893858408,-44.24169893858408,0.5685981633337246,0.5685981633337246,0.5685981633337246,0.0,0.0,0.0,-0.9090050353490255
2010-07-20 04:00:00,42.77370401367496,-48.02416625351828,41.41301039706832,42.77370401367496,42.77370401367496,-44.041185540590206,-44.041185540590206,-44.041185540590206,-44.53490622757155,-44.53490622757155,-44.53490622757155,0.49372068698134913,0.49372068698134913,0.49372068698134913,0.0,0.0,0.0,-1.2674815269152475
2010-07-21 04:00:00,42.783312287448595,-46.17320517934524,40.88697819198066,42.783312287448595,42.783312287448595,-45.06822978486099,-45.06822978486099,-45.06822978486099,-45.45284851227842,-45.45284851227842,-45.45284851227842,0.3846187274174337,0.3846187274174337,0.3846187274174337,0.0,0.0,0.0,-2.284917497412394
2010-07-22 04:00:00,42.792920561222225,-42.56658734112234,42.16635175283761,42.792920561222225,42.792920561222225,-44.799613337576986,-44.799613337576986,-44.799613337576986,-45.0452433974094,-45.0452433974094,-45.0452433974094,0.24563005983240385,0.24563005983240385,0.24563005983240385,0.0,0.0,0.0,-2.006692776354761
2010-07-23 04:00:00,42.802528834995854,-44.92216331034873,39.67038921506333,42.802528834995854,42.802528834995854,-45.37266420964683,-45.37266420964683,-45.37266420964683,-45.454167441212185,-45.454167441212185,-45.454167441212185,0.0815032315653557,0.0815032315653557,0.0815032315653557,0.0,0.0,0.0,-2.570135374650974
2010-07-26 04:00:00,42.83135365631675,-49.1712422624913,43.25361422783027,42.83135365631675,42.83135365631675,-44.75217183437606,-44.75217183437606,-44.75217183437606,-44.24169893869648,-44.24169893869648,-44.24169893869648,-0.5104728956795772,-0.5104728956795772,-0.5104728956795772,0.0,0.0,0.0,-1.9208181780593065
2010-07-27 04:00:00,42.84096193009038,-46.62234366868037,40.46867933586789,42.84096193009038,42.84096193009038,-45.25841294664617,-45.25841294664617,-45.25841294664617,-44.53490622765265,-44.53490622765265,-44.53490622765265,-0.7235067189935194,-0.7235067189935194,-0.7235067189935194,0.0,0.0,0.0,-2.4174510165557876
2010-07-28 04:00:00,42.85057020386402,-46.13145696075848,41.45045291678002,42.85057020386402,42.85057020386402,-46.388707398667776,-46.388707398667776,-46.388707398667776,-45.452848512378914,-45.452848512378914,-45.452848512378914,-0.935858886288856,-0.935858886288856,-0.935858886288856,0.0,0.0,0.0,-3.5381371948037597
2010-07-29 04:00:00,42.860178477637646,-47.837490181935884,40.875951826519994,42.860178477637646,42.860178477637646,-46.188012718951015,-46.188012718951015,-46.188012718951015,-45.04524339733748,-45.04524339733748,-45.04524339733748,-1.1427693216135337,-1.1427693216135337,-1.1427693216135337,0.0,0.0,0.0,-3.3278342413133686
2010-07-30 04:00:00,42.869786751411276,-50.69183837521566,37.69169470251882,42.869786751411276,42.869786751411276,-46.794027733295174,-46.794027733295174,-46.794027733295174,-45.45416744110384,-45.45416744110384,-45.45416744110384,-1.3398602921913303,-1.3398602921913303,-1.3398602921913303,0.0,0.0,0.0,-3.924240981883898
2010-08-02 04:00:00,42.898611572732165,-46.60818493409517,38.508850162209406,42.898611572732165,42.898611572732165,-46.077555701990775,-46.077555701990775,-46.077555701990775,-44.24169893843403,-44.24169893843403,-44.24169893843403,-1.835856763556751,-1.835856763556751,-1.835856763556751,0.0,0.0,0.0,-3.1789441292586105
2010-08-03 04:00:00,42.9082198465058,-48.85128575829669,38.462503801707335,42.9082198465058,42.9082198465058,-46.49510416113301,-46.49510416113301,-46.49510416113301,-44.53490622768028,-44.53490622768028,-44.53490622768028,-1.9601979334527238,-1.9601979334527238,-1.9601979334527238,0.0,0.0,0.0,-3.5868843146272056
2010-08-04 04:00:00,42.91782812027943,-46.412661064998524,41.28935282186494,42.91782812027943,42.91782812027943,-47.51384692350035,-47.51384692350035,-47.51384692350035,-45.45284851231463,-45.45284851231463,-45.45284851231463,-2.060998411185717,-2.060998411185717,-2.060998411185717,0.0,0.0,0.0,-4.596018803220922
2010-08-05 04:00:00,42.92743639405306,-47.85724689290682,39.48878539979999,42.92743639405306,42.92743639405306,-47.18264256939315,-47.18264256939315,-47.18264256939315,-45.045243397288786,-45.045243397288786,-45.045243397288786,-2.1373991721043617,-2.1373991721043617,-2.1373991721043617,0.0,0.0,0.0,-4.255206175340092
2010-08-06 04:00:00,42.93704466782669,-50.10787371516273,36.70273791096054,42.93704466782669,42.93704466782669,-47.64333732027424,-47.64333732027424,-47.64333732027424,-45.45416744099549,-45.45416744099549,-45.45416744099549,-2.1891698792787446,-2.1891698792787446,-2.1891698792787446,0.0,0.0,0.0,-4.7062926524475515
2010-08-09 04:00:00,42.965869489147586,-50.57546199472337,41.57180303688646,42.965869489147586,42.965869489147586,-46.444687279426674,-46.444687279426674,-46.444687279426674,-44.241698938721505,-44.241698938721505,-44.241698938721505,-2.202988340705166,-2.202988340705166,-2.202988340705166,0.0,0.0,0.0,-3.4788177902790878
2010-08-10 04:00:00,42.975477762921216,-47.725187753412335,43.037620887714354,42.975477762921216,42.975477762921216,-46.69987974003876,-46.69987974003876,-46.69987974003876,-44.53490622761064,-44.53490622761064,-44.53490622761064,-2.1649735124281144,-2.1649735124281144,-2.1649735124281144,0.0,0.0,0.0,-3.7244019771175445
2010-08-11 04:00:00,42.985086036694845,-46.22445754059445,42.213528718454654,42.985086036694845,42.985086036694845,-47.561729917453114,-47.561729917453114,-47.561729917453114,-45.452848512346876,-45.452848512346876,-45.452848512346876,-2.108881405106233,-2.108881405106233,-2.108881405106233,0.0,0.0,0.0,-4.576643880758269
2010-08-12 04:00:00,42.994694310468475,-50.70906071568855,40.68975220428925,42.994694310468475,42.994694310468475,-47.08229075395265,-47.08229075395265,-47.08229075395265,-45.04524339730824,-45.04524339730824,-45.04524339730824,-2.037047356644412,-2.037047356644412,-2.037047356644412,0.0,0.0,0.0,-4.087596443484173
