ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-06-04 04:00:00,47.847162056121824,36.63256908385943,47.25308723418481,47.847162056121824,47.847162056121824,-6.175465166660329,-6.175465166660329,-6.175465166660329,-2.8784000137241916,-2.8784000137241916,-2.8784000137241916,-3.297065152936137,-3.297065152936137,-3.297065152936137,0.0,0.0,0.0,41.671696889461494
2020-06-05 04:00:00,47.80077265001059,36.04923590818023,46.77540091123651,47.80077265001059,47.80077265001059,-6.164488237946492,-6.164488237946492,-6.164488237946492,-3.040691738792185,-3.040691738792185,-3.040691738792185,-3.1237964991543063,-3.1237964991543063,-3.1237964991543063,0.0,0.0,0.0,41.6362844120641
2020-06-08 04:00:00,47.66160443167689,36.991754301187626,47.35705834569591,47.66160443167689,47.66160443167689,-5.342609995735024,-5.342609995735024,-5.342609995735024,-2.7429492460472122,-2.7429492460472122,-2.7429492460472122,-2.5996607496878115,-2.5996607496878115,-2.5996607496878115,0.0,0.0,0.0,42.31899443594187
2020-06-09 04:00:00,47.61521502556566,36.71634409427594,46.93896001564556,47.61521502556566,47.61521502556566,-5.26907272650473,-5.26907272650473,-5.26907272650473,-2.8413693529986426,-2.8413693529986426,-2.8413693529986426,-2.427703373506088,-2.427703373506088,-2.427703373506088,0.0,0.0,0.0,42.34614229906093
2020-06-10 04:00:00,47.56882561945442,37.5565707759873,47.69237389007575,47.56882561945442,47.56882561945442,-5.123084052980475,-5.123084052980475,-5.123084052980475,-2.8640860172811298,-2.8640860172811298,-2.8640860172811298,-2.2589980356993444,-2.2589980356993444,-2.2589980356993444,0.0,0.0,0.0,42.44574156647395
2020-06-11 04:00:00,47.52243621334319,37.47396945384329,47.76323076067789,47.52243621334319,47.52243621334319,-4.972942019266203,-4.972942019266203,-4.972942019266203,-2.8784000137217314,-2.8784000137217314,-2.8784000137217314,-2.0945420055444726,-2.0945420055444726,-2.0945420055444726,0.0,0.0,0.0,42.549494194076985
2020-06-12 04:00:00,47.47604680723195,37.179928780826074,47.52408295267216,47.47604680723195,47.47604680723195,-4.975946934487942,-4.975946934487942,-4.975946934487942,-3.04069173879381,-3.04069173879381,-3.04069173879381,-1.9352551956941322,-1.9352551956941322,-1.9352551956941322,0.0,0.0,0.0,42.50009987274401
2020-06-15 04:00:00,47.33687858889825,38.0264864795977,47.76679285335797,47.33687858889825,47.33687858889825,-4.239537690295306,-4.239537690295306,-4.239537690295306,-2.7429492460603244,-2.7429492460603244,-2.7429492460603244,-1.4965884442349815,-1.4965884442349815,-1.4965884442349815,0.0,0.0,0.0,43.097340898602944
2020-06-16 04:00:00,47.29048918278702,37.97555659833597,48.037573268557246,47.29048918278702,47.29048918278702,-4.207229904590526,-4.207229904590526,-4.207229904590526,-2.8413693529942115,-2.8413693529942115,-2.8413693529942115,-1.365860551596315,-1.365860551596315,-1.365860551596315,0.0,0.0,0.0,43.08325927819649
2020-06-17 04:00:00,47.24409977667579,38.27420716675568,48.228285903719325,47.24409977667579,47.24409977667579,-4.108049979931836,-4.108049979931836,-4.108049979931836,-2.864086017282515,-2.864086017282515,-2.864086017282515,-1.2439639626493215,-1.2439639626493215,-1.2439639626493215,0.0,0.0,0.0,43.136049796743954
2020-06-18 04:00:00,47.19771037056455,38.297229861728276,48.327754048872215,47.19771037056455,47.19771037056455,-4.009876750139861,-4.009876750139861,-4.009876750139861,-2.8784000137133887,-2.8784000137133887,-2.8784000137133887,-1.1314767364264722,-1.1314767364264722,-1.1314767364264722,0.0,0.0,0.0,43.18783362042469
2020-06-19 04:00:00,47.15132096445332,37.72694140342331,48.35651654874942,47.15132096445332,47.15132096445332,-4.069620707860682,-4.069620707860682,-4.069620707860682,-3.0406917387954353,-3.0406917387954353,-3.0406917387954353,-1.0289289690652461,-1.0289289690652461,-1.0289289690652461,0.0,0.0,0.0,43.08170025659264
2020-06-22 04:00:00,47.01215274611962,38.70266664311566,48.471922522551196,47.01215274611962,47.01215274611962,-3.528379438110367,-3.528379438110367,-3.528379438110367,-2.742949246061392,-2.742949246061392,-2.742949246061392,-0.785430192048975,-0.785430192048975,-0.785430192048975,0.0,0.0,0.0,43.48377330800925
2020-06-23 04:00:00,46.96576334000838,38.19882247855291,48.47728232077404,46.96576334000838,46.96576334000838,-3.5682078828315906,-3.5682078828315906,-3.5682078828315906,-2.8413693529941213,-2.8413693529941213,-2.8413693529941213,-0.7268385298374701,-0.7268385298374701,-0.7268385298374701,0.0,0.0,0.0,43.397555457176786
2020-06-24 04:00:00,46.91937393389715,38.4012389418606,48.62378358606331,46.91937393389715,46.91937393389715,-3.5440304357191548,-3.5440304357191548,-3.5440304357191548,-2.864086017281026,-2.864086017281026,-2.864086017281026,-0.6799444184381288,-0.6799444184381288,-0.6799444184381288,0.0,0.0,0.0,43.37534349817799
2020-06-25 04:00:00,46.87298452778592,38.36866131965506,48.47756538908776,46.87298452778592,46.87298452778592,-3.5232592045341606,-3.5232592045341606,-3.5232592045341606,-2.878400013710929,-2.878400013710929,-2.878400013710929,-0.6448591908232315,-0.6448591908232315,-0.6448591908232315,0.0,0.0,0.0,43.349725323251754
2020-06-26 04:00:00,46.82659512167468,38.44037745522103,48.54722078107788,46.82659512167468,46.82659512167468,-3.6622790718913336,-3.6622790718913336,-3.6622790718913336,-3.0406917387797567,-3.0406917387797567,-3.0406917387797567,-0.6215873331115767,-0.6215873331115767,-0.6215873331115767,0.0,0.0,0.0,43.164316049783345
2020-06-29 04:00:00,46.68742690334098,37.91319691260603,47.99630866121193,46.68742690334098,46.68742690334098,-3.36379072273866,-3.36379072273866,-3.36379072273866,-2.7429492460369844,-2.7429492460369844,-2.7429492460369844,-0.6208414767016754,-0.6208414767016754,-0.6208414767016754,0.0,0.0,0.0,43.32363618060232
2020-06-30 04:00:00,46.641037497229746,38.38258481391895,48.16023188887217,46.641037497229746,46.641037497229746,-3.483689142060502,-3.483689142060502,-3.483689142060502,-2.841369352994031,-2.841369352994031,-2.841369352994031,-0.6423197890664712,-0.6423197890664712,-0.6423197890664712,0.0,0.0,0.0,43.15734835516925
2020-07-01 04:00:00,46.59464809111851,38.0926436351104,48.2567231904841,46.59464809111851,46.59464809111851,-3.5377246477098834,-3.5377246477098834,-3.5377246477098834,-2.8640860172824105,-2.8640860172824105,-2.8640860172824105,-0.6736386304274727,-0.6736386304274727,-0.6736386304274727,0.0,0.0,0.0,43.05692344340862
